Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N_mean,P_mean,K_mean,ph_mean,temperature_mean,humidity_mean,soil_rainfall_mean,NPK_Index,Rainfall_Fert_Ratio,Log_Area,Log_Production,Season_encoded,Crop_encoded,State_encoded
Arecanut,1997,Whole Year,Assam,73814.0,56708.0,2051.4,7024878.38,22882.34,0.796086957,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0002920192488771245,11.209317241968188,10.945688207278275,4,0,2
Arhar/Tur,1997,Kharif,Assam,6637.0,4685.0,2051.4,631643.29,2057.47,0.710434783,20.73,67.73,20.29,5.794174879790001,27.7417622259,48.0616330847,149.4575638135,36.25,0.003247713994216587,8.80056599227992,8.452334619067742,1,1,2
Castor seed,1997,Kharif,Assam,796.0,22.0,2051.4,75755.32,246.76,0.238333333,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.027078928860324786,6.680854678790215,3.1354942159291497,1,8,2
Coconut,1997,Whole Year,Assam,19656.0,304705.5,2051.4,1870661.52,6093.36,5.0722222225,21.98,16.93,30.59,5.97656212619,27.4098921723,94.84427180610001,175.686645804,23.166666666666668,0.0010966168285661702,9.8861887879578,12.627104297204422,4,9,2
Cotton(lint),1997,Kharif,Assam,1739.0,794.0,2051.4,165500.63,539.09,0.420909091,117.77,46.24,19.56,6.91267549578,23.988957895200002,79.8434742538,80.3980431193,61.19,0.012395044085064299,7.461640392208575,6.678342114654332,1,11,2
Dry chillies,1997,Whole Year,Assam,13587.0,9073.0,2051.4,1293074.79,4211.97,0.643636364,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0015864499326833734,9.516942329280475,9.113168460223909,4,13,2
Gram,1997,Rabi,Assam,2979.0,1507.0,2051.4,283511.43,923.49,0.465454545,40.09,67.79,79.92,7.33695662374,18.8728467519,16.8604394237,80.0589772605,62.6,0.00723566158986398,7.9996785794994505,7.318539548567902,2,16,2
Jute,1997,Kharif,Assam,94520.0,304705.5,2051.4,8995468.4,29301.2,5.0722222225,78.4,46.86,39.99,6.7327775681699995,24.9583758265,79.6398642063,174.792797536,55.083333333333336,0.00022804813276336642,11.456577311016355,12.627104297204422,1,21,2
Linseed,1997,Rabi,Assam,10098.0,5158.0,2051.4,961026.66,3130.38,0.461363636,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0021345899659121156,9.220191688026556,8.54849804124465,2,23,2
Maize,1997,Kharif,Assam,19216.0,14721.0,2051.4,1828786.72,5956.96,0.615652174,77.76,48.44,19.79,6.2451897224,22.3892039102,65.0922494467,84.766987663,48.663333333333334,0.0011217266922592855,9.863550582932428,9.59709825261865,1,24,2
