Soil_Cluster,N_mean,P_mean,K_mean,ph_mean,temperature_mean,humidity_mean,Cluster_Size,Dominant_Crop
0,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,13538,Groundnut
1,40.09,67.79,79.92,7.33695662374,18.8728467519,16.8604394237,490,Gram
2,33.506281929990536,67.74280983916745,19.292109744560076,7.070800731892602,28.298383124953737,65.02228589626405,1057,Urad
3,20.73,67.73,20.29,5.794174879790001,27.7417622259,48.0616330847,508,Arhar/Tur
4,79.69428882438316,47.48542815674891,39.88576197387518,6.4658355831932885,23.85602081318215,81.92698316647576,1378,Rice
5,21.048235294117646,47.3744705882353,19.91658823529412,6.737832099964352,28.482958302804708,81.3148554645753,850,Moong(Green Gram)
6,117.77,46.24,19.56,6.91267549578,23.988957895200002,79.84347425379998,476,Cotton(lint)
7,77.76,48.44,19.79,6.245189722399999,22.3892039102,65.0922494467,975,Maize
8,100.23,82.01,50.05,5.98389318024,27.3767983057,80.35812258109999,245,Banana
9,21.98,16.93,30.589999999999996,5.97656212619,27.4098921723,94.84427180610001,172,Coconut
