,count,mean,std,min,25%,50%,75%,max,median,skew
Crop_Year,19689.0,2009.1275839301134,6.498098951393285,1997.0,2004.0,2010.0,2015.0,2020.0,2010.0,-0.16265562121556904
Area,19689.0,49091.865529839,68864.27211682321,0.5,1390.0,9317.0,75112.0,185695.0,9317.0,1.2102645505031038
Production,19689.0,80716.40598811519,115591.71565815526,0.0,1393.0,13804.0,122718.0,304705.5,13804.0,1.2018241802215424
Annual_Rainfall,19689.0,1371.2313966101276,614.6949466204128,301.3,940.7,1247.6,1643.7,2698.2,1247.6,0.765019632700848
Fertilizer,19689.0,6528930.835733182,9148705.689865489,54.17,188014.62,1234957.44,10003847.2,24727596.07,1234957.44,1.2151853215269797
Pesticide,19689.0,13013.902887570215,18328.408492223803,0.09,356.7,2421.9,20041.7,49569.2,2421.9,1.2212556204076077
Yield,19689.0,1.7838451446970134,1.6521792755215008,0.0,0.6,1.03,2.388888889,5.0722222225,1.03,1.134574867975376
N_mean,19689.0,45.52037482858451,19.420426747173938,18.77,40.09,40.09,40.09,117.77,40.09,1.9164425269325827
P_mean,19689.0,50.432001625273,7.609144447750646,16.93,48.44,48.44,48.44,82.01,48.44,1.3514585733417173
K_mean,19689.0,23.204894103306415,10.91011884929676,19.24,19.87,19.87,19.87,79.92,19.87,3.9086844756458157
ph_mean,19689.0,6.476256084662122,0.2605682921567966,5.794174879790001,6.425470922140001,6.425470922140001,6.425470922140001,7.33695662374,6.425470922140001,1.1018325502470439
temperature_mean,19689.0,24.367340094190826,1.862205964915859,18.8728467519,23.988957895200002,23.988957895200002,23.988957895200002,29.9733396789,23.988957895200002,1.0197905093242194
humidity_mean,19689.0,66.15181717829574,10.793318079348527,16.8604394237,65.1184255887,65.1184255887,65.1184255887,94.84427180610001,65.1184255887,-1.8237555477108398
soil_rainfall_mean,19689.0,94.46158527998932,40.64810208708491,45.680454204,84.766987663,84.766987663,84.766987663,236.181113594,84.766987663,2.6693440917676563
NPK_Index,19689.0,39.7190901857213,8.96206515951184,23.166666666666668,36.13333333333333,36.13333333333333,36.13333333333333,77.43,36.13333333333333,1.952920378606715
Rainfall_Fert_Ratio,19689.0,0.13032269236872668,0.9229561735863037,1.2184766645423183e-05,0.0001114228435431266,0.0009727391774276403,0.007911666363516739,47.86659416349465,0.0009727391774276403,16.188708655664357
Log_Area,19689.0,8.879369874172854,2.6872578367001645,0.4054651081081644,7.237778191923443,9.139703292376742,11.226748925301672,12.131866206990335,9.139703292376742,-0.7275952465244111
Log_Production,19689.0,9.111584208547892,2.9610567284513016,0.0,7.2399325913204695,9.532786124364256,11.717652467936853,12.627104297204422,9.532786124364256,-0.7214084122221612
Season_encoded,19689.0,2.037381278886688,1.2225134682887002,0.0,1.0,2.0,3.0,5.0,2.0,0.7392422421725229
Crop_encoded,19689.0,29.357661638478337,15.5608565098482,0.0,17.0,31.0,43.0,54.0,31.0,-0.22171667091417882
State_encoded,19689.0,14.328813042815785,9.000460687227338,0.0,7.0,14.0,22.0,29.0,14.0,0.05036911352428238
